NAME,PRICE,CUISINES_CATEGORY,CITY,REGION,RATING,VOTES,PEAK_TIME,MEN_EMPLOYEE,WOMEN_EMPLOYEE,DELIVERED_FOOD_APPROX,DELIVERY_TIME
Jay Ambe Fast Food and Restaurant,250,['Fast Food' 'Thalis'],Ahmedabad,Paldi & Ambawadi,--,,22:17:40,2,3,22457,35
Hotel The Lotus Park,250,['North Indian' 'Chinese' 'Beverages' 'Biryani' 'Continental' 'Desserts' 'Fast Food' 'Snacks' 'Italian' 'Indian' 'Thalis'],Ahmedabad,Paldi,4,500,13:47:25,1,2,15164,31
Pick Up Meals by Terra,250,['Healthy Food' 'Salads' 'Combo' 'Lebanese' 'Mediterranean' 'Mexican' 'Pizzas' 'Juices' 'Beverages'],Ahmedabad,Vishala,4.2,100,13:06:58,2,4,5262,49
McDonald's,400,['American' 'Fast Food'],Ahmedabad,Ellisbridge,4.3,500,21:09:12,2,2,4128,29
429 Restaurant,300,['North Indian' 'Chinese' 'Mughlai'],Ahmedabad,Ellisbridge,3.9,20,14:50:45,4,3,19598,32
9834 The Fruit Truck,300,['Juices' 'Beverages' 'Desserts' 'Healthy Food'],Ahmedabad,Jodhpur Tekra,4.5,100,15:13:39,10,4,6891,40
Al Kafeel Biryani,250,['North Indian' 'Biryani'],Ahmedabad,Navrangpura,--,,17:41:52,5,2,27838,34
Ambrosia Restaurant,600,['Indian' 'Chinese' 'Continental' 'South Indian'],Ahmedabad,Ellisbridge,--,,16:45:49,5,4,11019,33
Apna Fal,250,['Juices' 'Beverages' 'Desserts'],Ahmedabad,Jodhpur Tekra,4.2,100,14:49:59,7,2,11686,39
The Halal Kitchen,250,['North Indian' 'Chinese' 'Afghani' 'Biryani'],Ahmedabad,Ellisbridge,4.1,100,21:17:01,4,5,10576,31
Choice Snack Bar,450,['Beverages'],Ahmedabad,Navrangpura,4.4,100,13:24:08,7,1,21740,33
Magic Chicken,600,['Continental' 'Italian'],Ahmedabad,Lal Darwaja,4.4,100,11:47:51,7,4,27495,37
London Yard Pizza,700,['Pizzas' 'American' 'Italian'],Ahmedabad,Ellisbridge,4,50,14:29:02,6,3,12736,30
Hotel Zk,700,['Indian' 'Chinese'],Ahmedabad,Lal Darwaja,3.8,100,12:54:28,6,4,11034,46
Mexicano by the Bay - Cafe,500,['Mexican'],Ahmedabad,Ellisbridge,--,,17:39:22,8,4,27739,36
Wagh Bakri Tea Lounge,500,['Beverages' 'Fast Food'],Ahmedabad,Ellisbridge,--,,15:19:58,7,1,29419,33
Karnavati Snacks,200,['Snacks' 'Italian' 'Beverages'],Ahmedabad,Paldi,--,,18:59:45,3,4,14819,33
Foodinn - Fine Dine,800,['Indian' 'Chinese' 'Continental'],Ahmedabad,Ellisbridge,4,100,11:39:32,4,2,7932,31
Spice Zone,500,['Indian' 'Chinese'],Ahmedabad,Ellisbridge,4.4,50,14:47:18,6,0,16604,33
Udipi Cafe,450,['Punjabi' 'Indian' 'Chinese'],Ahmedabad,Paldi,4.2,100,17:57:04,5,0,20575,26
Swati Snacks,900,['Indian'],Ahmedabad,Ellisbridge,4.5,500,15:44:18,6,5,21460,28
Meal Box Ambawadi,200,['North Indian' 'Chinese'],Ahmedabad,Ambawadi,3,20,20:22:41,5,2,29062,38
Havmor Havfunn,250,['Ice Cream' 'Ice Cream Cakes' 'Desserts'],Ahmedabad,Gulbai Tekra,4.6,20,10:36:20,3,5,11532,25
Radhika's Authentic South Indian Food,300,['South Indian'],Ahmedabad,Ellisbridge,4.3,100,13:38:54,10,3,12838,30
Honest,350,['North Indian' 'Fast Food'],Ahmedabad,Ellisbridge,4.3,100,19:19:57,2,1,12617,32
Kunal Restaurant,650,['Indian' 'Chinese'],Ahmedabad,Navrangpura,--,,20:12:57,2,4,13414,33
Hari Om Chole Puri,300,['North Indian'],Ahmedabad,Ellisbridge,4.2,100,22:36:16,6,4,29937,31
Tandoorworkz,450,['Indian' 'Tandoor'],Ahmedabad,Ellisbridge,2.8,20,15:50:06,8,2,8301,34
La Pinoz Pizza,199,['Pizzas' 'Italian' 'Snacks' 'Desserts' 'Beverages'],Ahmedabad,Paldi & Ambawadi,4.1,100,18:59:33,9,3,6814,36
Shakti - The Sandwich Shop,300,['Fast Food' 'Pizzas' 'Combo'],Ahmedabad,Ellisbridge,4.2,20,12:13:02,5,5,16102,31
Jumboking Indian Burger,400,['Fast Food'],Ahmedabad,Ellisbridge,4,50,21:18:39,1,0,16817,29
Treat,350,['Indian'],Ahmedabad,Ellisbridge,4.5,20,15:19:34,7,2,22542,34
JUMBO BOX,300,['Indian' 'Street Food'],Ahmedabad,Paldi & Ambawadi,3.9,20,15:17:36,3,4,26596,33
The Great Kabab Factory by Radisson Blu,1200,['Biryani' 'Indian' 'Kebabs'],Ahmedabad,Ellisbridge,--,,20:05:19,5,1,4395,38
Amdos Kitchen,300,['Tibetan' 'Chinese' 'Fast Food'],Ahmedabad,Paldi,4.4,100,21:41:16,1,3,23293,30
BowlWrrap By Birmies,300,['Fast Food'],Ahmedabad,Navrangpura,--,,11:31:40,6,0,5078,37
Mahakali burger,130,['American'],Ahmedabad,Navrangpura,--,,15:58:28,1,0,12767,35
Chai G,200,['Beverages' 'Fast Food' 'Snacks'],Ahmedabad,Paldi,3.3,20,15:12:15,6,3,14179,30
Timpani Radisson Blu,600,['North Indian' 'Chinese'],Ahmedabad,Ellisbridge,--,,09:10:00,5,1,5976,49
Iqbal Hotel,350,['Indian' 'Chinese' 'Mughlai' 'North Indian' 'Desserts' 'Fast Food'],Ahmedabad,Khamasa,4,100,17:11:18,8,2,27635,46
Tomato's,1200,['Indian' 'Chinese' 'Continental'],Ahmedabad,Ellisbridge,4.4,50,09:24:41,8,3,25439,49
Natural Ice Cream,150,['Ice Cream'],Ahmedabad,Navrangpura,4.8,100,12:33:39,5,0,18612,30
Cafe Coffee Day,300,['Beverages' 'Snacks' 'Desserts'],Ahmedabad,Ellisbridge,4.4,100,16:51:16,5,1,12669,32
New Freeze Land,350,['Pizzas' 'Beverages' 'Chinese' 'Snacks' 'Pastas' 'Combo' 'Desserts' 'Chaat' 'Indian' 'Fast Food' 'Juices'],Ahmedabad,Ellisbridge,4.3,100,19:08:26,8,5,4602,32
Alinea Restaurant & Banquet,550,['Indian' 'Chinese' 'Continental' 'Italian' 'Mexican'],Ahmedabad,Ellisbridge,4.1,100,21:41:45,8,2,15408,32
OLD DELHI BIRYANI,200,['Biryani' 'Indian'],Ahmedabad,Khadia,--,,17:35:49,9,2,5023,40
Subway,350,['Fast Food' 'Healthy Food' 'Salads' 'Snacks' 'Desserts' 'Beverages'],Ahmedabad,Navrangpura,4,100,22:33:11,10,5,18401,29
Ladli Fast Food,0,['Fast Food' 'Italian'],Ahmedabad,Paldi,3.5,20,10:59:15,6,4,5421,34
Vipul Dudhiya Sweets,300,['Sweets' 'Snacks'],Ahmedabad,Paldi,4.4,100,14:07:32,6,0,18281,26
Paldi Juice Corner,150,['Beverages' 'Juices'],Ahmedabad,Paldi,4.1,100,21:23:37,8,0,13282,25
Cherries - Silver Heights,300,['Combo' 'Indian'],Ahmedabad,Navrangpura,--,,21:28:23,4,1,29273,40
Buddy's Pizza,500,['Pizzas'],Ahmedabad,Ellisbridge,--,,22:32:19,9,0,17230,39
McCafe by McDonald's,250,['Beverages' 'Desserts'],Ahmedabad,Ellisbridge,--,,22:55:45,5,0,7733,40
Asharfi Kulfi,200,['Indian'],Ahmedabad,Paldi,4.4,20,13:30:21,6,1,3952,30
McDonald's Gourmet Burger Collection,500,['American' 'Continental' 'Fast Food' 'Desserts' 'Beverages'],Ahmedabad,Navrangpura,4.4,50,20:44:13,2,4,7158,30
Apsara Ice Creams,150,['Ice Cream' 'Desserts'],Ahmedabad,Navrangpura,4.6,100,11:04:35,2,3,4544,30
Mahalaxmi Bhaji Pav Center (Main Bazar) -Manek Chowk,200,['Fast Food'],Ahmedabad,Khadia,4.5,50,13:46:57,6,3,6237,39
Vittlebox,250,['Punjabi' 'Combo' 'Chinese' 'Fast Food' 'South Indian' 'Mexican'],Ahmedabad,Navrangpura,4.2,1000,15:26:44,3,2,20910,34
Havmor Havfunn Ice Cream,250,['Ice Cream' 'Desserts'],Ahmedabad,Gulbai Tekra,4.3,20,13:10:08,4,5,23187,26
Urban Foods,100,['North Indian' 'Punjabi' 'Chinese'],Ahmedabad,Ellisbridge,2.9,20,14:55:47,4,4,18057,35
CIA Chinese in Ahmedabad,250,['Chinese'],Ahmedabad,Ellisbridge,2.4,20,19:18:17,1,0,18576,35
Real Spice Pizzeria,450,['Pizzas'],Ahmedabad,Paldi,--,,22:12:59,5,0,14884,34
Puffizza,700,['Pizzas' 'Italian' 'Fast Food'],Ahmedabad,Ellisbridge,4.2,20,17:02:20,7,2,26654,32
NEW GIRISH COLDRINKS,200,['Juices' 'Beverages' 'Desserts'],Ahmedabad,Gulbai Tekra,4.1,50,11:03:51,9,1,21299,27
The Chocolate Room,400,['Desserts' 'Beverages' 'Pizzas' 'Snacks' 'Fast Food'],Ahmedabad,Navrangpura,3.8,20,18:16:45,9,0,27425,34
Deepti's Delicious Homely Food,150,['Indian'],Ahmedabad,Ahmedabad,4.5,500,09:57:34,7,1,26033,28
The Bakers Dozen,300,['Bakery'],Ahmedabad,Ambawadi,4.4,100,11:07:39,2,4,13544,27
Urban Foods Ambawadi,250,['Chinese' 'North Indian' 'Punjabi'],Ahmedabad,Ambawadi,2.6,20,21:26:01,6,3,11191,36
Kekiz-The Cake Shop,150,['Bakery' 'Desserts'],Ahmedabad,Paldi & Ambawadi,--,,21:45:24,4,4,17763,31
Iceberg Organic Icecreams,180,['Ice Cream'],Ahmedabad,Navrangpura,3.2,20,13:58:30,1,5,13205,30
MealBox Ambawadi,200,['North Indian' 'Chinese' 'Punjabi'],Ahmedabad,Ambawadi,2.8,20,22:43:29,7,5,19225,39
Nishat Restaurant Tawa Fry,400,['Mughlai' 'North Indian'],Ahmedabad,LalDarwaja,4.1,100,12:27:08,5,0,15005,34
Domino's Pizza,400,['Pizzas'],Ahmedabad,Ellisbridge,4.4,100,11:55:14,1,0,7570,30
Paramount Restaurant,750,['Indian' 'Chinese' 'Continental' 'Desserts' 'Beverages'],Ahmedabad,Bhadra,4.1,100,11:10:14,4,0,12063,38
YO FRANKIE,200,['Fast Food' 'Beverages' 'Chinese'],Ahmedabad,Ellisbridge,4.1,100,22:29:49,10,2,23556,33
Cakes N Bakes,350,['Desserts' 'Bakery'],Ahmedabad,University Area,3.9,500,13:33:47,5,2,19126,30
Tea Post,200,['Fast Food'],Ahmedabad,Ambawadi,4.5,100,15:07:24,5,1,24104,32
Arabian Hub,350,['Arabian'],Ahmedabad,Raikhad,3.8,50,10:02:27,10,4,12507,35
Mumbaiya Misal And Vadapav,150,['Snacks'],Ahmedabad,Navrangpura,--,,21:41:38,6,4,6467,36
Kovallam,150,['South Indian' 'Indian' 'Snacks' 'Combo' 'Thalis' 'Desserts'],Ahmedabad,Navrangpura,4.2,100,16:39:28,2,0,9876,27
DANNY'S COFFEE BAR,500,['Fast Food'],Ahmedabad,Ellisbridge,3.6,20,11:50:47,10,1,24485,35
Sasuji,350,['Indian'],Ahmedabad,Ellisbridge,4.6,50,20:46:00,4,5,17701,32
THE Lio' Pizza,500,['Pizzas'],Ahmedabad,Paldi & Ambawadi,4,100,14:32:11,7,5,12831,32
Tealogy,150,['Fast Food' 'Beverages'],Ahmedabad,Ellisbridge,--,,09:39:11,1,3,29456,39
Chinese Adda,250,['Chinese'],Ahmedabad,Ellisbridge,--,,16:38:34,1,2,15574,40
HARMONY RESTO CAFE,300,['Fast Food' 'Snacks' 'Beverages'],Ahmedabad,Ellisbridge,3.9,50,21:18:53,9,3,29129,32
Manek Sandwich & Pizza,300,['Fast Food'],Ahmedabad,Khadia,4.3,20,10:52:21,8,5,25084,44
La Patron Cafe,600,['Mexican' 'Mediterranean' 'Fast Food' 'Chinese' 'Thai'],Ahmedabad,Ellisbridge,3.8,100,12:45:52,5,5,24031,35
Sale & Pepe Pizzeria Neapolitan,700,['Italian'],Ahmedabad,Paldi & Ambawadi,--,,14:28:07,10,0,22457,38
Toritos,600,['Continental' 'Mexican' 'Italian'],Ahmedabad,Gulbai Tekra,4,20,13:38:19,8,5,7950,35
Ark Cafe,300,['Fast Food' 'Beverages' 'Pizzas'],Ahmedabad,Navrangpura,--,,21:10:07,9,2,25375,45
Firangi Bake,400,['Italian' 'Mexican' 'Pastas'],Ahmedabad,Ellisbridge,4.2,20,21:57:26,3,5,13170,38
Oven Story Pizza,600,['Pizzas' 'Italian'],Ahmedabad,Ellisbridge,4,100,09:05:06,6,3,5457,36
Taste Of Mumbai-Bombay Street Cafe,450,['South Indian' 'Beverages'],Ahmedabad,Ambawadi,3.9,20,09:24:01,6,4,24029,35
Green House - The House Of Mg,1500,['Gujarati' 'Snacks'],Ahmedabad,Lal Darwaja,--,,22:27:57,6,1,5056,39
Tea Post  A Place To Talk ,200,['Indian' 'Beverages' 'Snacks'],Ahmedabad,Navrangpura,--,,14:38:23,10,0,25678,38
Lucky Restaurant,300,['North Indian'],Ahmedabad,Lal Darwaja,4.4,20,13:58:34,10,2,6391,36
Behrouz Biryani,500,['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts'],Ahmedabad,Ellisbridge,4.2,100,20:51:10,4,2,3607,33
The Biryani Life,200,['Biryani' 'Hyderabadi' 'Lucknowi' 'North Indian' 'Mughlai' 'Combo' 'Desserts'],Ahmedabad,Ellisbridge,3.9,50,12:21:30,10,3,24087,32
Mocha,700,['Indian' 'Jain' 'American' 'Bakery' 'Beverages' 'Continental' 'Desserts' 'Fast Food' 'Pastas' 'Pizzas' 'Thai'],Ahmedabad,Gulbai Tekra,4.2,100,18:37:34,6,0,16189,38
Mirza Fry & Chinese,300,['Indian'],Ahmedabad,Khanpur,4.2,100,12:57:23,6,2,11046,39
Chai Sutta Bar,400,['Street Food' 'Cafe' 'Snacks'],Ahmedabad,Gulbai Tekra,--,,18:54:43,2,5,28387,47
Baskin Robbins,250,['Desserts' 'Ice Cream'],Ahmedabad,Navrangpura,3.7,20,12:09:02,4,5,24061,36
Kalapi,600,['Indian' 'Chinese'],Ahmedabad,Lal Darwaja,4.2,20,15:22:42,5,3,27191,36
Food Inn,700,['North Indian'],Ahmedabad,Lal Darwaja,4.5,100,20:02:59,4,4,5635,33
Pure Veg Meals by Lunchbox,200,['North Indian' 'Desserts' 'Biryani'],Ahmedabad,Ellisbridge,--,,11:06:16,9,0,4969,37
The Good Bowl,400,['North Indian' 'Punjabi' 'Biryani' 'Combo' 'Chinese' 'Beverages' 'Desserts' 'Jain' 'Indian' 'Hyderabadi' 'Mughlai'],Ahmedabad,Ellisbridge,4.1,100,18:10:57,4,2,29975,30
Bera Samosa House,150,['Street Food' 'Snacks'],Ahmedabad,Lal Darwaja,--,,12:15:25,2,3,11614,40
AL-BAIK FAST FOOD,400,['Arabian' 'Grill' 'Pizzas' 'Seafood' 'Fast Food' 'Tandoor'],Ahmedabad,Lal Darwaja,4.3,100,11:31:16,8,5,27400,36
BOSS Burger,500,['American' 'Continental' 'Fast Food' 'Combo'],Ahmedabad,CG Road,3.9,20,18:38:07,10,0,6054,44
Michael's Icecream Burger,350,['Continental' 'Beverages' 'Desserts'],Ahmedabad,Navrangpura,--,,22:31:27,1,1,12773,45
Simran,650,['Indian' 'Chinese'],Ahmedabad,Khanpur,4,500,09:15:49,4,3,3206,40
William John's Pizza,400,['Pizzas' 'Italian' 'Combo'],Ahmedabad,Navrangpura,--,,09:19:13,10,3,27806,37
LunchBox,200,['North Indian' 'Punjabi' 'Combo' 'Biryani' 'Healthy Food' 'Jain' 'Thalis' 'Indian' 'Mughlai' 'Desserts'],Ahmedabad,Ellisbridge,4,100,09:14:28,10,2,19307,35
Dangee Dums Yums,400,['Desserts' 'Bakery' 'Ice Cream'],Ahmedabad,University Area,4.6,100,14:51:10,7,3,18987,34
NIC Natural Ice Creams,120,['Ice Cream' 'Desserts'],Ahmedabad,Navrangpura,4.6,500,10:21:51,8,1,11041,30
Anwar E Hilal Restaurant,250,['Indian'],Ahmedabad,Khamasa,4,100,09:10:49,8,2,24586,37
Super Dawat Tawa Fry Centre,300,['North Indian' 'Indian' 'Biryani' 'Seafood' 'Tandoor' 'Barbecue'],Ahmedabad,Navrangpura,3.8,100,22:10:12,2,5,22015,36
1944 The Hocco Kitchen,450,['North Indian' 'Fast Food'],Ahmedabad,Navrangpura,4.4,500,20:07:30,6,5,23617,33
Devaadi Hotel,600,['Indian' 'Punjabi' 'Fast Food'],Ahmedabad,Navrangpura,--,,10:56:40,3,3,12637,37
Bismillah,400,['Ice Cream' 'Desserts' 'Juices' 'Beverages'],Ahmedabad,Lal Darwaja,4,50,17:04:03,9,0,11344,44
Wok On Fire - Indo Chinese - Pan Asian,500,['Chinese' 'Thai' 'Asian'],Ahmedabad,Navrangpura,4.8,50,19:40:40,1,3,11982,40
Nini's Kitchen,1000,['North Indian' 'Italian' 'Lebanese' 'American' 'Mexican'],Ahmedabad,University Area,4.4,100,21:52:40,4,1,27308,39
From The North,300,['Indian'],Ahmedabad,Navrangpura,4.3,50,10:58:34,8,3,25251,35
Bean Box Cafe,300,['Beverages' 'Continental' 'Desserts'],Ahmedabad,Navrangpura,--,,09:39:24,8,4,19179,37
Parosa,600,['Continental' 'Italian' 'Chinese' 'North Indian' 'Beverages'],Ahmedabad,Navrangpura,--,,18:42:58,1,4,16133,46
Shree Manmohan Kharek Center,100,['Snacks'],Ahmedabad,Navrangpura,--,,16:52:00,6,5,21112,38
D'Tallii Egg,400,['Indian'],Ahmedabad,Navrangpura,4.5,20,12:37:35,9,3,9790,35
Santushti - Shakes & More,400,['Desserts' 'Beverages'],Ahmedabad,Navrangpura,4.2,50,11:54:23,8,3,28748,30
Cheers,250,['Desserts' 'Beverages'],Ahmedabad,Navrangpura,4.7,50,14:01:59,10,0,4736,31
Dairy Den,300,['Desserts' 'Beverages'],Ahmedabad,Navrangpura,4.4,20,22:52:23,5,0,16329,37
The Blue Oven,600,['Pizzas' 'Italian' 'Desserts' 'Beverages' 'Continental'],Ahmedabad,Navrangpura,4.2,20,14:29:10,2,2,28858,35
GRILL N RICE RESTAURANT,200,['Indian' 'Chinese'],Ahmedabad,Ahmedabad,3.6,20,17:13:57,10,1,13851,39
Day 'N' Night,400,['South Indian' 'North Indian' 'Chinese' 'Fast Food' 'Punjabi' 'Indian'],Ahmedabad,Navrangpura,4.3,20,19:57:39,10,3,5827,33
Jay Bhavani Vadapav,150,['Fast Food' 'Snacks' 'Combo' 'American' 'Pizzas' 'Beverages'],Ahmedabad,Navrangpura,3.8,100,22:26:28,1,2,20652,36
Sankalp,350,['South Indian' 'Beverages'],Ahmedabad,Navrangpura,4,20,14:03:23,4,3,11100,36
Biryani Co.,400,['Biryani'],Ahmedabad,Navrangpura,--,,18:58:17,10,0,9487,38
Kwality Walls Frozen Dessert and Ice Cream Shop,300,['Ice Cream'],Ahmedabad,LalDarwaja,4.4,100,13:25:23,6,4,22625,36
Wah,500,['Pizzas' 'Italian-American'],Ahmedabad,Navrangpura,4.2,20,16:40:32,9,3,10809,32
Swad-E-Punjab,300,['North Indian' 'Punjabi' 'Thalis' 'Combo' 'Gujarati'],Ahmedabad,Navrangpura,4.3,100,22:14:23,4,4,27822,34
Pizza Hut,350,['Fast Food' 'Pizzas'],Ahmedabad,Navrangpura,4,100,12:22:15,9,2,27733,35
Mom's Kitchen,600,['Chinese' 'North Indian'],Ahmedabad,Ahmedabad,--,,18:10:49,7,5,28639,44
Creamy Heaven,300,['Ice Cream' 'Beverages'],Ahmedabad,Navrangpura,--,,19:26:18,4,3,8111,40
Khichdi Etc,500,['North Indian' 'Gujarati' 'Indian' 'Desserts'],Ahmedabad,Ellisbridge,4.4,100,15:11:04,1,3,22619,33
M.L.F Franco,300,['Fast Food'],Ahmedabad,Navrangpura,4,50,15:30:20,3,2,16118,35
Urban Khichdi,300,['Indian'],Ahmedabad,Navrangpura,4.2,500,18:18:25,5,2,22889,38
New Bombay Biryani,160,['Biryani'],Ahmedabad,Shahpur,3.8,100,19:18:05,2,5,3079,39
S. K. A-ONE BOMBAY BHATHIYARA,200,['Biryani'],Ahmedabad,LalDarwaja,--,,11:27:52,10,0,18456,40
Mk Sandwich,200,['Chinese' 'American' 'Beverages'],Ahmedabad,Ambavadi,4.4,20,10:21:49,4,3,24452,39
Fozzie's Pizzaiolo,900,['Salads' 'Italian' 'Mexican' 'Desserts' 'Beverages'],Ahmedabad,Navrangpura,3.8,20,13:08:40,7,3,11793,39
The Mad House Cafe,350,['Fast Food' 'Indian'],Ahmedabad,Gulbai Tekra,4.4,20,11:47:41,10,2,20802,36
The Kurtosshhh Lounge,500,['Bakery' 'Beverages'],Ahmedabad,Navrangpura,--,,22:03:50,8,1,10831,38
The American Eatery | SuperDonuts,600,['American' 'Desserts' 'Beverages'],Ahmedabad,Gulbai Tekra,4.5,50,13:00:10,2,4,29041,35
Gita Samosa Centre,250,['Snacks' 'Fast Food'],Ahmedabad,Ambawadi,4.3,100,15:05:13,8,5,3258,34
Karnavati Dabeli,200,['Snacks' 'Fast Food'],Ahmedabad,Navjivan,4.1,100,16:16:33,4,5,25829,35
Vadilal Ice Creams,300,['Hyderabadi' 'Indian'],Ahmedabad,Navrangpura,--,,12:06:47,8,1,28207,44
China Hut,400,['North Indian' 'Chinese'],Ahmedabad,Paldi,4,50,17:45:34,2,0,15630,33
Jugaad Nights,400,['Combo' 'Thalis' 'Indian' 'Chinese' 'North Indian' 'Beverages'],Ahmedabad,Navrangpura,4.3,500,22:06:38,8,4,26414,35
Ahmedabad Fast Food,200,['Pizzas' 'Fast Food' 'Chinese'],Ahmedabad,Khadia,--,,16:25:38,1,3,5279,44
RABDI KING,100,['Desserts' 'Ice Cream'],Ahmedabad,LalDarwaja,--,,15:11:01,2,5,3036,39
Frankie on Fire,250,['Fast Food' 'Combo'],Ahmedabad,Navrangpura,--,,16:59:46,7,1,9142,38
Ashapura Fast Food,200,['Fast Food' 'South Indian'],Ahmedabad,Paldi,--,,19:26:18,2,0,17986,36
My SugarPot,250,['Beverages' 'Snacks'],Ahmedabad,Navrangpura,--,,09:34:41,8,0,17941,37
The Shake Maker,300,['Beverages'],Ahmedabad,Navrangpura,4.2,50,09:53:03,4,1,7468,31
Cafe+9,300,['Fast Food' 'Pizzas' 'Snacks' 'Beverages'],Ahmedabad,Navrangpura,--,,19:21:47,9,0,5755,39
Bombay Gulalwadi Bhajipav-Manek Chowk,200,['Fast Food'],Ahmedabad,Khadia,--,,13:23:40,9,2,4049,44
Rp's Pizzeria,550,['Italian'],Ahmedabad,Paldi,4,20,20:46:00,5,4,18301,36
Silver Leaf - Cama Hotel,600,['Indian' 'Chinese' 'Continental'],Ahmedabad,Khanpur,--,,10:58:22,2,2,16825,48
Riviera Restaurant,400,['North Indian' 'Chinese' 'Continental'],Ahmedabad,Navrangpura,4,20,21:58:35,9,2,20754,38
Punjab Paratha Point,150,['North Indian'],Ahmedabad,Navrangpura,4.1,20,16:12:13,8,4,21269,39
Anand Ankurwala,300,['Fast Food' 'Snacks'],Ahmedabad,Navrangpura,4.2,50,21:44:04,3,5,15839,34
ROYAL PUNJAB PARATHA,280,['North Indian'],Ahmedabad,Navrangpura,4,20,09:53:02,7,2,10142,36
Johnny Da Dhaba,200,['Indian' 'North Indian' 'Chinese'],Ahmedabad,Navrangpura,--,,20:11:47,4,5,7041,38
volga,500,['North Indian' 'Continental' 'Beverages'],Ahmedabad,LalDarwaja,--,,17:52:02,5,0,13495,48
Gwalia Sweets & Fast Food,250,['Sweets' 'North Indian' 'Chaat' 'Snacks' 'Bakery' 'Desserts' 'Beverages'],Ahmedabad,Navrangpura,4.3,1000,10:23:59,7,3,11600,37
AMAZING SNACKS,300,['Chinese' 'Beverages'],Ahmedabad,Paldi & Ambawadi,--,,13:56:10,5,0,23671,49
Yash's GBT,700,['Fast Food' 'Continental'],Ahmedabad,Navrangpura,--,,15:14:24,2,0,16783,40
HARSHAIL,200,['Chinese' 'Fast Food' 'Thalis'],Ahmedabad,Navrangpura,--,,20:26:18,10,3,15518,36
La Pino'z Pizza,400,['Pizzas'],Ahmedabad,Naranpura,4.3,500,22:53:20,6,5,8979,39
